ἄντρωπος, ἀντρώπου, ὁ	man, human being
(αγορᾱ΄) ἀγορά, -ᾶs, ἡ	market place
ἀδελφός, ἀδελφοῦ, ὁ	brother
βιβλίον, βιβλίου, τό	book
δῶρον, δώρου, τό	gift
εἰς + acc.	into, to, for
ἐκ, ἐξ + gen.	out of, from
ἐν + dat.	in
ἔργον, ἔργου, τό	work, deed
θεός, θεοῦ, ὁ or ἡ	God, goddess
καί	and
καί ... καί	both ... and
λόγος, λόγου, ὁ	word, speech, story
μάχη, μάχης, ἡ	battle
νῆσος, νήσου, ἡ	island
ὀδός, ὀδοῦ, ἡ	road
οἰκία, οἰκίας, ἡ	house, family
παιδεύει	teaches
πὲμπει	sends
τέχνη, τέχνης, ἡ	art, skill, craft
χώρα, χώρας, ἡ	land, country
ψυχή, ψυχῆς, ἡ	soul
ὦ	O (addressing someone)
