ἄγγελος, ἀγγέλου, ὁ	messenger
ἀπό (prep.) + gen. 	from, away from
ἆρα (particle)	question introduction particle
γάρ (postpositive conj.)	for (explanatory)
δέ (postpositive conj.)	but
εὖ (adv.)	well
ζῷον, ζῷου, τό	animal
ἤ	or
ἤ ... ἤ	either ... or
κελεύω, κελεύσω, ἐκέλευσα, κεκέλευκα, κεκέλευσμαι, ἐκελεύσθεν	order, command
λύω, λύσω, ἔλυσα, λέλυκα, λέλυμαι, ἐλύθηεν	unbind, free, release; dissolve; destroy
μέν ... δέ (postpositive conjs.)	on the one hand ... on the other hand ...
νῦν (adv.)	now
ξένος, ξένου, ὁ	guest-friend, host, stranger, foreigner
οὐ, οὐκ, οὐχ (adv.) 	not
παιδεύω, παιδεύσω, ἐπαίδευσα, πεπαίδευκα, πεπαίδευμαι, ἐπαιδεύθην	educate, teach
παρά (prep.) + gen. 	from (the side of)
παρά (prep.) + dat. 	at (the side of), at the house of
παρά (prep.) + acc. 	to (the side of), beside; contrary to
πέμπω, πέμψω, ἔπεμψα, πέπομφα, πέπεμμαι, ἐπέμφθην	send
πέντε	five
πόλεμος, πολέμου, ὁ	war
πρό (prep.) + gen.	before; in front of
ὀτέφανος, ὀτεφάνου, ὁ	crown, wreath
φίλος, φίλου, ὁ	friend
φιλία, φιλίας, ἡ	friendship
χρυσός, χρυσοῦ, ὁ	gold
