αἴξ, αἰγός, ὁ, ἡ	goat
γε (enclitic particle)	emphasises or limits preceding word; at any rate; at least
γέρων, γέροντος, ὁ	old man
δοῦλος, δούλου, ὁ	slave
δουλεία, δουλείας, ἡ	slavery
δουλεύω, δουλεύσω, ἐδούλευσα, δεδούλευκα, —, —	to be a slave (+ dat.)
ἐλεύθερος, ἐλευθέρα, ἐλεύθερον	free (+ gen.)
ἐλευθερία, ἐλευθερίας, ἡ	freedom	
Ἑλλην, Ἑλληνος, ὁ	a Greek
ἐλπίς, ἐλπίδος, ἡ	hope, expectation
κατά (+ gen.)	under; against
κατά (+ acc.)	according to
κωλύω, κωλύσω, ἐκωλύσα, κεκώλυκα, κεκώλυμαι, ἐκωλύθην	hinder, prevent
νύξ, νυκτός, ἡ	night
ὅς, ἥ, ὅ	who, which
παλαιός, παλαιά, παλαιόν	old, aged, ancient
πολιτεύω, πολιτεύσω, ἐπολίτευσα, πεπολίτευκα, πεπολίτευμαι, ἐπολιτεύθην	live as a citizen; conduct the government; (pass.) be governed
πρᾶγμα, πράγματος, τό	deed, affair, thing
σοφός, σοφή, σοφόν	wise, skilled
σοφία, σοφίας, ἡ	wisdom, skill
στάδιον, σταδίου, τό	stade (= ca. 600 ft.)
σῶμα, σώματος, ὁ	body
τε (enclitic particle)	and
τοι (enclitic particle)	let me tell you, you know
φάλαγξ, φάλαγγος, ἡ	line of battle, phalanx
φύλαξ, φύλακος, ὁ	guard
χάρις, χάριτος, ἡ	grace, favour, gratitude
χάριν (prep.) + preceding gen.	for the sake of
χορός, χοροῦ, ὁ	dance; chorus
χορεύω, χορεύσω, ἐχόρευσα, κεχόρευκα, κεχόρευμαι, ἐχορεύθην	dance, take part in a chorus
χορευτής, χορευτοῦ, ὁ	choral dancer
