κεφάλαιος, κεφαλαίου, τό
γυνή	woman, wife
δέσποινα, δεσποίνας, ἡ	mistress
δεσπότης, δεσπότου, ὁ	master
δεύτερος, δευτέρα, δεύτερον	second
δοῦλος, δούλου, ὁ	slave (male)
δούλη, δούλης, ἡ	slave (female)
θυγάτηρ	daughter
κόρη, κόρης, ἡ	girl
κύριος, κυρίου, ὁ	lord, master, guardian, ruler, owner
μήτηρ	mother
μὴ	question particle
οἰκέω, οἰκήσω, ᾤκησα, ᾤκηκα, ᾤκημαι, ᾠκήθην	to live, to reside
παιδίον, παιδίου, τό	(little) child
πατήρ	father
παῖς	child, son
πεντήκοντά	fifty
ποταμὸς, ποταμοῦ, τό	river
πόσος, ποσή, ποσόν	how many? how much? how big? (...)
τέσσαρες	four
τίς;	who?
τις	someone, anyone / something, anything
υἱός, υἱοῦ, ὁ	son, child
ἀλλὰ	but
ἄλλος,  ἄλλη, ἄλλο	other (more)
ἀνὴρ	man
ἀριθμός, ἀριτμοῦ, ὁ	number
ἑκατόν	hundred
ὀλίγος, ὀλίγη, ὀλίγον	few, little
ναί	yes
μικρός, μικρά, μιρκόν little, small
μέγας, μεγάλη, μέγα	big, large, great
