Ἀθηναῖος, ὁ	Athenian
ἅμα	at the same time
ἀναχωρέω	to retreat
ἀπορέ-ω	be at a loss; have no resources
ἀπορί-α, ἡ	perplexity; lack of provisions
αὖθις	again
βάβαρος, ὁ	barbarian
βέραιος (α) ον	secure
βραδέως	slowly
διά + acc.	on account of, because of
διέρχομαι (διελθ-)*	go through, relate
δουλό-ομαι	enslave, make X a slave
ἐλευθερόω	free, set free
ἐμός ή όν	my; mine
ἐπειδή	when	
ἐπέρχομαι (ἐπελθ-)*	go against
ἐπί (+ acc.)	at, against, to attack
ἔρχομαι (ἐλθ-)*	go, come
ἡδέως with pleasure, happily
ἤδη	by now, now, already
ἡσυχάζω	be quiet, keep quiet
ἡσυχία, ἡ	quiet, peace
θεά-ομαι	observe, watch
κάλλιστος η ον	most/very fine/beautiful/good
μάχομαι (μαχεσα-)*	to fight
ναυμαχία, ἡ	naval battle
νικάω	to win, defeat
νίκη, ἡ	victory, conquest
ὁμόνοια, ἡ	agreement, harmony
ὅσος η ον	how great!
οὐκέτι	no longer
οὑτω(ς)	thus, so, in this way
παρά + acc.	along(side)
πίπτω (πες-)*	fall, die
πολέμιος, ὁ	the enemy
πότερον ... ἤ	whether ... or
προσέρχομαι (προσελθ-)*	advance, go/come forward
σιωπά-ω	be silent
σκοπέ-ω	look at, consider
στρατιά, ἡ	army
ταχέως	quickly
τέλος	in the end, finally
τι	a, something
τόλμα, ἡ	daring
τολμάω	dare, be daring, undertake
φοβέομαι	fear, be afraid (of)
ψευδῶς falsely
ὥσπερ	like, as
