ἄγε	come!
ἀλλήλους	each other, one another (2a)
ἄλλος η ον	other, the rest of
ἀνήρ (ἀνδρ-)*, ὁ	man (3a)
ἀφικνέομαι (ἀφικ-)*	arrive, come
βοάω	shout (for)
γείτων (γειτον-)*, ὁ	neighbour (3a)
δεινός ή όν	fearsome, marvellous, clever; dire, terrible
δή	then, indeed
ἐγγύς (+ gen.)	near(by)
εἰπέ	speak! tell me!
ἐκεῖνος ἐκείνη ἐκεῖνο	that
ἐμβαίνω (ἐμβα-)*	embark
ἐπειδή	when, since, because
ἐρωταω (ἐρ-)*	ask
ἔτι	still, yet
εὖ	well
εὐχή, ἡ	prayer (1a)
εὔχομαι	to pray
Ζεύς (Δι-)*, ὁ	Zeus
ζητέω	look for, seek
θεάομαι	watch, gaze at
θόρυβος, ὁ	noise, din, hustle and bustle (2a)
θύρα, ἡ	door (1b)
θυσία, ἡ	a sacrifice (1b)
θύω	to sacrifice
ἰδού	look! here! hey!
καθεύδω	to sleep
καλέω	call, summon
κατά (+ acc.)	in, on, by; according to
κελευστής, ὁ	boatswain (1d)
κελεύω	to order
κίνδυνος, ὁ	danger (2a)
Λακεδαιμόνιος, ὁ	Spartan (2a)
λαμβάνω (λαβ-)*	take, capture
λαμπάς (λαμπαδ-)*, ἡ	torch (3a)
λιμήν (λιμεν-)*, ὁ	harbour (3a)
λόγος, ὁ	word, speech; story, tale (2a)
μανθάνω (μαθ-)*	learn, understand
μέγας, μεγάλη, μεγά (μεγαλ-)*	big, great
ναυτικός ή όν	naval
νῆσος, ἡ	island (2a)
νύξ (νυκτ-), ἡ	night (3a)
οἰκία, ἡ	house, family (1b)
οἴκαδε	homewards
οἴκοι	at home
οὐδέ	and not, not even
οὗτος αὕτη τοῦτο	this
οὑτοσί αὑτηί τουτί	this here
παῖς (παιδ-)*, ὁ	child, slave
πατρίς (πατριδ-)*, ἡ	fatherland (3a)
πόθεν;	from where?
πολύς, πολλή, πολύ (πολλ-)*	many, much
πορεύομαι	to march, journey, go
πυρά, τά	fire-signal (2b)
σπένδω	pour a libation
σπεύδω	hurry
σπονδή, ἡ	a libation (1a)
σωτήρ (σωτηρ-)*, ὁ	saviour (3a)
τέχνη, ἡ	skill, art, expertise (1a)
τρέχω (δραμ-)*	to run
τριήραρχος, ὁ trierach (2a)
φαίνομαι (φαν-)*	appear, seem
χωρέω	go, come
