ἄστυ, τό	city (of Athens) (3f)
ἀτιμάζω	dishonour, hold in dishonour
γεωργός, ὁ	farmer (2a)
γυνή (γυναικ-), ἡ	woman, wife (3a)
δαίμων (δαιμον-), ὁ	god, (minor) deity, daimon (3a)
δεσπότης, ὁ	master (1d)
διαφθείω (διαφθειρ-)	destroy, kill
ἔτι καὶ νῦν	even now, still now
εὔφων, εὖφον (εὖφον-)	well-disposed
θνητός ή όν	mortal
κακοδαίμων κακόδαιμον (κακόδαιμον-)	unlucky, dogged by an evil daimon
κρατέω	hold sway, power (over)
κωλύω	hinder, prevent
μάλιστα	especially; particularly; yes
νεκρός, ὁ	corpse (2a)
νή (+ acc.)	by …!
νόμος, ὁ	law, convention (2a)
νόσος, ἡ	plague, disease (2a)
οἴκησις, ἡ	dwelling (3a)
ὀλίγος η ον	small, few
οὐδείς οὐδεμία οὐδέν (οὐεν-)	no; no one, nothing
πλῆθος, τό	number, crowd; the people (3c)
πόλις, ἡ	city (state) (3a)
πρᾶγμα (πραγματ-), τό	thing; matter; affair; (pl.) troubles (3b)
πυρά, ἡ	funeral pyre (1b)
σκεύη, τά	gear, furniture (3c)
τάξις, ἡ	battle-array, order, rank (3e)
τιμάω	to honour
τίς τί (τίν-)	who? what?
τις τι (τιν-)	a, a certain; someone
τύπτω	strike, hit
φέρω (ἐνεγκ-)	carry, bear
φόβος, ὁ	fear (2a)
