ἀνομία, ἡ	lawlessness (1b)
ἀπάγω (ἀπαγαγ-)	lead/take away
ἀποκτείνω (ἀποκτεινα-)	to kill
ἀποφεύγω (ἀποφυγ-)	to escape, run off
ἀσέβεια, ἡ	irreverence to the gods (1b)
αὐτόν ή ό	him, her, it, them
ἀφέλκω (ἀφελκυσα-)	drag off
βασιλεύς, ὁ	king (3g)
βωμός, ὁ	altar (2a)
δοῦλος, ὁ	slave (2a)
ἐπικαλέομαι	call upon (witness)
ἱερον, τό	shrine (2b)
ἱκέτης, ὁ	suppliant (1d)
κῆρυξ (κῆρυκ-)	herald (3a)
λανθάνω (λαθ-)	escape notice of X (acc.) in –ing (part.)
μά (+ acc.)	by…!
μισέω	to hate
ξενος/ξεῖνος, ὁ	foreigner, stranger, guest, host (2a)
ὀλοφύρομαι	lament, mourn for
ὀρθός ή όν	straight, correct, right
πάσχω (παθ-)	suffer, experience, undergo
παύομαι	stop
πρεσβευτής, ὁ	ambassador (1d)
πρέσβεις, οἱ	ambassador (3e)
τρέπομαι (τραπ-)	turn, turn in flight
τυγχάνω (τυχ-)	happen to be –ing, be actually –ing (+ nom. part.)
ὕβρις, ἡ	aggression, violence (3e)
ὑπηρέης, ὁ	servant, slave (1d)
φαίνομαι (φαν-)	seem to be, appear to be, am clearly (+ part.)
φθάνω	anticipate X (acc.) in –ing (nom. part.)
ὤ (+ gen.)	what…!
