αἴτιος α ον	responsible (for), guilty (of)
ἁπτω	light; fasten, fix
βαθύς	deep
βαρύς	heavy
βίος, ὁ	life, means, livelihood (2a)
γάμος, ὁ	marriage (2a)
διαλέγομαι	coverse (dialogue)
δίκη, ἡ	lawsuit; penality; justice (1a)
δίκην λαμβάνω (λαβ-) (παρά + gen.)	exact one's due; punish 
διότι	because
δυστυχής	unlucky
εἰσφέρω (εἰσενεγκ-)	bring in, carry in
ἔνειμι	to be in(side)
ἡδύς	sweet, pleasant
ἱππος, ὁ	horse (2a)
κακὰ/κακῶς ποιέω	treat badly; do harm to
κολάζω	to punish
νεανίας, ὁ	young man (1d)
νεός α ον	young
οἰκέτης, ὁ	house-slave (1d)
ὁλος η ον	whole of
οὐδέπω/οὔπω	not yet
ὀφείλω	to owe
πατήρ (πατ(ε)ρ-), ὁ	father (3a)
παύω	to stop
πείθομαι (πιθ-) (+ dat.)	trust, obey
σχεδόν	near, nearly; almost
τότε	then
υἱός, ὁ	son (2a)
φής	you (s.) say
χρέα, τά	debts (3c uncontr.)
χρήματα, τά	money (3b)
χρηστός ή όν	good, fine, serviceable
